영화이름,상영일시,상영 시작 시점,감독,주연배우,상영 4주 전 ~ 상영 1주 전 트위터 건,상영 1주 전 ~ 상영 전 트위터 건,누적 관객 수
벅스 프렌즈, 2018.06.06,3,딩 스,"김소희,윤세웅,석승훈",22,1463,36905
베러 와치 아웃, 2018.02.08,6,크리스 펙커버,"리바이 밀러,올리비아 데종,에드 옥슨볼드,데이커 몽고메리,버지니아 매드슨",33,20,4579
벽 속에 숨은 마법시계, 2018.10.31,4,일라이 로스,"잭 블랙,케이트 블란쳇,오웬 바카로,카일 맥라클란,콜린 캠프",89,1498,184440
보리 vs 매켄로, 2018.05.10,2,야누스 메츠,"스베리르 구드나손,샤이아 라보프,스텔란 스카스가드,튜바 노보트니,스콧 아서",1079,63,9215
빅 식, 2018.07.18,3,마이클 쇼월터,"쿠마일 난지아니,조 카잔,홀리 헌터,레이 로마노,아누팜 커",1113,86,15042
서버비콘, 2018.07.12,3,조지 클루니,"맷 데이먼,줄리안 무어,노아 주프,오스카 아이삭,글렌 플레쉬러",1047,1473,12713
서산개척단, 2018.05.24,2,이조훈,"정영철,하용복,윤기숙,정화자,이상범",47,4367,5260
앤트맨과 와스프, 2018.07.04,3,페이튼 리드,"폴 러드,에반젤린 릴리,마이클 더글라스,마이클 페나,로렌스 피시번",210189,180086,5447972
"세라비, 이것이 인생!", 2018.05.30,2,올리비에르 나카체,"장 피에르 바크리,질 를르슈,수잔 클레망,장 폴 루브,빈센트 맥케인",23,15,23193
세번째 밤, 2018.02.22,6,아담 그레블리,"제시 맥긴,로버트 하트번,부르스 대니",2111,28,60
스타 이즈 본, 2018.10.09,4,브래들리 쿠퍼,"브래들리 쿠퍼,레이디 가가,샘 엘리어트,데이브 샤펠,보니 소머빌",3126,10054,434534
시카리오: 데이 오브 솔다도, 2018.06.27,3,스테파노 솔리마,"조슈 브롤린,베니시오 델 토로,이사벨라 모너,제프리 도노반,캐서린 키너",7082,1507,229542
신 전래동화, 2018.04.25,2,이상훈,"재희,윤기원,유다미,이상훈,김덕현",24,15,36
악의 도시, 2018.03.15,2,웨인 블레어,"애드리언 브로디,셀마 헤이엑,쇼레 아그다쉬루,나비드 아카반,가브리엘라 라이트",76,25,34
앤트로포이드, 2018.01.18,1,숀 엘리스,"킬리언 머피,제이미 도넌,안나 게이슬러로바,샬롯 르 본,토비 존스",40,1491,529
양의 나무, 2018.10.18,4,요시다 다이하치,"니시키도 료,마츠다 류헤이,키무라 후미노,키타무라 카즈키,유카",4111,7152,3985
강철비, 2017.12.14,1,양우석,"정우성,곽도원,김갑수,김의성,이경영",250149,170080,4452755
어둔 밤, 2018.09.06,5,심찬양,"송의성,이요셉,심정용,오수경,김상훈",3116,76,1393
어드리프트:우리가 함께한 바다, 2018.09.06,5,발타자르 코루마쿠르,"쉐일린 우들리,샘 클라플린,제프리 토머스,엘리자베스 호손,그레이스 파머",31,25,59009
어른도감, 2018.08.23,3,김인선,"엄태구,이재인,서정연,김희창,황정민",1093,5788,6887
가을 우체국, 2017.10.19,4,임왕태,"보아,이학주,오광록,임현식,송옥숙",8164,5793,3099
간츠: 오, 2017.05.11,2,사이토 케이이치,"오노 다이스케,하야미 사오리,이치미치 마오,카지 유우키,카쿠 토모히로",3085,34,1625
개구리왕국 2, 2017.03.23,2,상광희,"사문영,이경태,임주현,홍진욱,윤세웅",12,14,14236
개에게 처음 이름을 지어준 날, 2017.04.06,2,야마다 아카네,"고바야시 사토미,카미카와 타카야,아오야마 미사토,이마무라 사오리",29,14,2008
범죄도시, 2017.10.03,4,강윤성,"마동석,윤계상,조재윤,최귀화,임형준",121704,161126,6880540
걸 온 더 트레인, 2017.03.09,2,테이트 테일러,"에밀리 블런트,헤일리 베넷,루크 에반스,레베카 퍼거슨,저스틴 서룩스",2079,57,29011
고려 아리랑: 천산의 디바, 2017.05.25,2,김소영,"방 타마라,이함덕",1015,1499,4014
고령가 소년 살인사건, 2017.11.23,4,에드워드 양,"장첸,양정이,장 구주,금연령,왕 주안",54,1508,9402
고스트 스토리, 2017.12.28,1,데이빗 로워리,"케이시 애플렉,루니 마라,그로버 콜슨,윌 올드햄,리즈 프랭크",3119,1532,8416
고양이 케디, 2017.09.21,5,제다 토룬,뷜렌드 우스틴,2076,5794,7172
공각기동대 : 고스트 인 더 쉘, 2017.03.29,2,루퍼트 샌더스,"스칼렛 요한슨,마이클 피트,줄리엣 비노쉬,요한 필립 애스백,기타노 다케시",2092,5800,764072
공각기동대 신극장판, 2017.04.20,2,노무라 카즈야,"사카모토 마아야,쥬쿠 잇큐,마츠다 켄이치로,신가키 타루스케",38,1463,1376
극장판 프리! - 테이크 유어 마크 -, 2018.04.12,2,카와나미 에이사쿠,"시마자키 노부나가,스즈키 타츠히사,미야노 마모루,요나가 츠바사,미야타 코우키",24,27,23048
"괜찮아요, 미스터 브래드", 2017.09.21,5,마이크 화이트,"벤 스틸러,오스틴 에이브람스,제나 피셔,마이클 쉰,저메인 클레멘트",7137,2919,17747
"구름의 저편, 약속의 장소", 2017.02.28,6,신카이 마코토,"하기와라 마사토,난리 유카,요시오카 히데타카",41,26,4583
구세주: 리턴즈, 2017.09.14,5,송창용,"최성국,송삼동,김성경,정이연,김보민",24,19,6151
국정교과서 516일: 끝나지 않은 역사전쟁, 2017.11.23,4,백승우,"한홍구,박한용,김민철,이준식,하일식",23,17,502
"귀향, 끝나지 않은 이야기", 2017.09.14,5,조정래,"강하나,최리,박지희,서미지,홍세나",1039,37,14495
"괜찮아요, 미스터 브래드", 2017.09.21,5,마이크 화이트,"벤 스틸러,오스틴 에이브람스,제나 피셔,마이클 쉰,저메인 클레멘트",7137,2919,17747
"구름의 저편, 약속의 장소", 2017.02.28,6,신카이 마코토,"하기와라 마사토,난리 유카,요시오카 히데타카",41,26,4583
구세주: 리턴즈, 2017.09.14,5,송창용,"최성국,송삼동,김성경,정이연,김보민",24,19,6151
국정교과서 516일: 끝나지 않은 역사전쟁, 2017.11.23,4,백승우,"한홍구,박한용,김민철,이준식,하일식",23,17,502
"귀향, 끝나지 않은 이야기", 2017.09.14,5,조정래,"강하나,최리,박지희,서미지,홍세나",1039,37,14495
나는 아들을 사랑하지 않는다, 2017.11.30,4,아릴드 안드레센,"크리스토퍼 요너,크리스토페르 베치,엘렌 도리트 페테르센,말론 모레노,마르셀라 카르바젤",20,21,1904
나를 찾아서, 2017.04.06,2,더스틴 마르첼리노,"블레이크 레인,레이 리오타,애슐리 쥬드,아만다 크루,조 판토리아노",1091,50,49
"나의 딸, 나의 누나", 2017.03.23,2,토마스 비더게인,"프랑소아 다미앙,피네건 올드필드,아가시 드론,엘로라 토르치아,존 C. 라일리",36,17,1729
나의 붉은 고래, 2017.06.15,3,양선,"계관림,소상경,허위주,금사걸,반숙난",5122,8661,58454
"나의 사랑, 그리스", 2017.04.20,2,크리스토퍼 파파칼리아티스,"J.K. 시몬스,크리스토퍼 파파칼리아티스,안드레아 오스바트,마리아 카보이아니,타우픽 바롬",3054,1465,30181
내 아내와 결혼해 주세요, 2017.05.18,2,미야케 요시시게,"오다 유지,요시다 요,하라다 타이조,다카시마 레이코,모리 칸나",11,12,2676
"내 어깨 위 고양이, 밥", 2017.01.04,1,로저 스포티스우드,"루크 트레더웨이,루타 게드민타스,조앤 프로갯,안소니 헤드,대런 에반스",66,48,26926
내 이름은 꾸제트, 2017.03.09,2,클로드 바라스,"가스파 츨라테르,시스틴 무하,폴린 자쿠우드,미셸 빌레모,라울 리베라",42,1479,10591
내 친구 정일우, 2017.10.26,4,김동원,"정일우,전주희,신명자,김동원,김의열",52,2921,12034
내가 죽기 전에 가장 듣고 싶은 말, 2017.07.19,3,마크 펠링톤,"셜리 맥클레인,아만다 사이프리드,앤쥴 리 딕슨,토머스 새도스키,앤 헤이시",38,13,45349
내게 남은 사랑을, 2017.11.02,4,진광교,"성지루,전미선,권소현,홍석,이예원",2101,7232,27986
내일의 안녕, 2017.08.17,3,훌리오 메뎀,"페넬로페 크루즈,루이스 토사,에시어 엑센디아,테오 플라넬,알렉스 브렌데뮬",60,31,8544
너브, 2017.01.11,1,헨리 유스트,"엠마 로버츠,데이브 프랭코,에밀리 미드,마일즈 헤이저,줄리엣 루이스",83,1515,29441
너와 100번째 사랑, 2017.05.25,2,츠키카와 쇼,"사카구치 켄타로,미와,류세이 료,마노 에리나,이즈미사와 유키",54,1493,80839
넛잡 2, 2017.10.03,4,캘런 브런커,"윌 아넷,캐서린 헤이글,성룡,이사벨라 모너,마야 루돌프",2050,2897,411787
"괜찮아요, 미스터 브래드", 2017.09.21,5,마이크 화이트,"벤 스틸러,오스틴 에이브람스,제나 피셔,마이클 쉰,저메인 클레멘트",7137,2919,17747
겟 아웃, 2017.05.17,2,조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래드리 휘트포드,캐서린 키너,릴렐 호워리",101156,120230,2138425
"구름의 저편, 약속의 장소", 2017.02.28,6,신카이 마코토,"하기와라 마사토,난리 유카,요시오카 히데타카",41,26,4583
분노의 질주: 더 익스트림, 2017.04.12,2,F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,미셸 로드리게즈",13974,23904,3653238
구세주: 리턴즈, 2017.09.14,5,송창용,"최성국,송삼동,김성경,정이연,김보민",24,19,6151
국정교과서 516일: 끝나지 않은 역사전쟁, 2017.11.23,4,백승우,"한홍구,박한용,김민철,이준식,하일식",23,17,502
"귀향, 끝나지 않은 이야기", 2017.09.14,5,조정래,"강하나,최리,박지희,서미지,홍세나",1039,37,14495
국가대표2, 2016.08.10,3,김종현,"수애,오달수,오연서,하재숙,김슬기",40185,61070,710117
P.S. 걸, 2016.02.04,6,원석호,"비키,이창용,권해성,이은미,함민지",2039,13,285
구스범스, 2016.01.14,1,롭 레터맨,"잭 블랙,딜런 미네트,오데야 러쉬,라이언 리,에이미 라이언",8166,1519,305131
굿 다이노, 2016.01.07,1,피터 손,"레이몬드 오초아,제프리 라이트,프란시스 맥도맨드,스티브 잔,잭 브라이트",3095,4351,1330181
굿바이 버클리, 2016.03.10,2,다니엘 엘그란트,"펜 바드글리,벤 로젠필드,이모겐 푸츠,윌리엄 새들러,노버트 리오 버츠",48,39,2084
굿바이 싱글, 2016.06.29,3,김태곤,"김혜수,마동석,김현수,김용건,서현진",7119,10009,2108561
귀담백경, 2016.10.19,4,나카무라 요시히로,"다케우치 유코,오카야마 아마네,후지모토 이즈미,타카다 리호,네기시 토시에",48,1447,8297
"나, 너, 그, 그녀", 2016.01.21,1,샹탈 애커만,"샹탈 애커만,닐스 아르스트럽,클레어 보치옹",3125,55,283
나는 쓰레기다, 2016.05.12,2,이상우,"이상우,양명헌,박형빈,권범택,조용석",132,43,18
나는 증인이다, 2016.09.14,5,안상훈,"양미,루한,주아문,왕징춘,류예린",28,24,1407
나를 잊지 말아요, 2016.01.07,1,이윤정,"정우성,김하늘,배성우,장영남,조이진",30171,30091,427107
