영화이름,상영일시,감독,주연배우,상영 4주 전 ~ 상영 1주 전 트위터 건,상영 1주 전 ~ 상영 전 트위터 건,누적 관객 수,
벅스 프렌즈, 2018.06.06,2,딩 스,"김소희,윤세웅,석승훈",22,1463,36905
베놈, 2018.10.03,4,루벤 플레셔,"톰 하디,미셸 윌리엄스,리즈 아메드,제니 슬레이트,레이드 스콧",50141,50073,3887051
베러 와치 아웃, 2018.02.08,1,크리스 펙커버,"리바이 밀러,올리비아 데종,에드 옥슨볼드,데이커 몽고메리,버지니아 매드슨",33,20,4579
벽 속에 숨은 마법시계, 2018.10.31,4,일라이 로스,"잭 블랙,케이트 블란쳇,오웬 바카로,카일 맥라클란,콜린 캠프",89,1498,184440
보리 vs 매켄로, 2018.05.10,2,야누스 메츠,"스베리르 구드나손,샤이아 라보프,스텔란 스카스가드,튜바 노보트니,스콧 아서",1079,63,9215
봄이가도, 2018.09.13,4,장준엽,"유재명,전미선,전석호,김혜준,김민하",10173,10075,2976
빅 식, 2018.07.18,3,마이클 쇼월터,"쿠마일 난지아니,조 카잔,홀리 헌터,레이 로마노,아누팜 커",1113,86,15042
사라진 밤, 2018.03.07,2,이창희,"김상경,김강우,김희애,한지안,이지훈",10200,10088,1315735
서버비콘, 2018.07.12,3,조지 클루니,"맷 데이먼,줄리안 무어,노아 주프,오스카 아이삭,글렌 플레쉬러",1047,1473,12713
서산개척단, 2018.05.24,2,이조훈,"정영철,하용복,윤기숙,정화자,이상범",47,4367,5260
서치, 2018.08.29,3,아니쉬 차간티,"존 조,데브라 메싱,미셸 라,조셉 리,사라 손",10190,10077,2949744
"세라비, 이것이 인생!", 2018.05.30,2,올리비에르 나카체,"장 피에르 바크리,질 를르슈,수잔 클레망,장 폴 루브,빈센트 맥케인",23,15,23193
스타 이즈 본, 2018.10.09,4,브래들리 쿠퍼,"브래들리 쿠퍼,레이디 가가,샘 엘리어트,데이브 샤펠,보니 소머빌",3126,10054,434534
시카리오: 데이 오브 솔다도, 2018.06.27,3,스테파노 솔리마,"조슈 브롤린,베니시오 델 토로,이사벨라 모너,제프리 도노반,캐서린 키너",7082,1507,229542
신 전래동화, 2018.04.25,2,이상훈,"재희,윤기원,유다미,이상훈,김덕현",24,15,36
신과함께-인과 연, 2018.08.01,3,김용화,"하정우,주지훈,김향기,마동석,김동욱",810143,1310067,12274021
아일라, 2018.06.21,3,잔 울카이,"김설,이스마일 하지오글루,세틴 테킨도르,알리 아타이,자니 영",10146,8608,43612
악의 도시, 2018.03.15,2,웨인 블레어,"애드리언 브로디,셀마 헤이엑,쇼레 아그다쉬루,나비드 아카반,가브리엘라 라이트",76,25,34
앤트로포이드, 2018.01.18,1,숀 엘리스,"킬리언 머피,제이미 도넌,안나 게이슬러로바,샬롯 르 본,토비 존스",40,1491,529
앤트맨과 와스프, 2018.07.04,3,페이튼 리드,"폴 러드,에반젤린 릴리,마이클 더글라스,마이클 페나,로렌스 피시번",110189,110086,5447972
양의 나무, 2018.10.18,4,요시다 다이하치,"니시키도 료,마츠다 류헤이,키무라 후미노,키타무라 카즈키,유카",4111,7152,3985
어둔 밤, 2018.09.06,4,심찬양,"송의성,이요셉,심정용,오수경,김상훈",3116,76,1393
어드리프트:우리가 함께한 바다, 2018.09.06,4,발타자르 코루마쿠르,"쉐일린 우들리,샘 클라플린,제프리 토머스,엘리자베스 호손,그레이스 파머",31,25,59009
어른도감, 2018.08.23,3,김인선,"엄태구,이재인,서정연,김희창,황정민",1093,5788,6887
거울나라의 앨리스, 2016.09.07,4,제임스 보빈,"조니 뎁,앤 해서웨이,미아 와시코브스카,헬레나 본햄 카터,사챠 바론 코헨",3135,4370,513202
걸즈 앤 판처 극장판, 2016.08.25,3,미즈시마 츠토무,"후치가미 마이,카야노 아이,이구치 유카,후쿠엔 미사토,타카하시 미카코",2071,61,31847
겁쟁이 페달: 더 무비, 2016.01.14,1,나가누마 노리히로,"야마시타 다이키,토리우미 코스케,후쿠시마 준,야스모토 히로키,모리쿠보 쇼타로",36,26,11802
겁쟁이 페달: 스페어바이크, 2016.11.17,4,나베시마 오사무,"모리쿠보 쇼타로,카키하라 테츠야,스와베 쥰이치,야스모토 히로키,이토 켄타로",22,17,2440
구스범스, 2016.01.14,1,롭 레터맨,"잭 블랙,딜런 미네트,오데야 러쉬,라이언 리,에이미 라이언",8166,1519,305131
그날의 분위기, 2016.01.14,1,조규장,"문채원,유연석,조재윤,박민우,이연두",4146,7217,653210
그림자들의 섬, 2016.08.25,3,김정근,"김진숙,박성호,박희찬,윤국성,정태훈",1049,44,4548
극장판 꼬마버스 타요의 에이스 구출작전, 2016.01.21,1,류정우,"문남숙,정혜옥,최하나,김영선,전숙경",7144,1490,135478
극장판 도라에몽:신 진구의 버스 오브 재팬, 2016.12.21,1,야쿠와 신노스케,"채민지,김정아,최낙윤,이현주,조현정",17,11,70350
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!, 2016.07.20,3,타카하시 시게하루,"박경혜,홍범기,김현지,김보영,정혜옥",9161,8668,330725
